Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-01-07,Coringa,5.6,"LRS with revo. Mosquitoes were HORRIBLE for the first pitch, probably because it rained overnight. Otherwise pretty sweet! ",https://www.mountainproject.com/route/107546334/coringa,6,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",2.9,-1,Lead,Onsight,Sport,,330,1600
2025-01-05,Costao,5.7,"Soloed everything, then TR'd the technical portion bc I arrived right when a guided party was finishing up, so they threw a rope down and I tied it round my waist and ran up the thing. Will have to do it again because I didn't find the pedra filosofia ",https://www.mountainproject.com/route/107546351/costao,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",3.1,-1,TR,,Sport,,1000,1800
2025-01-03,"Preto (with Rubro Negro var)",5.7,"LRS with revo. 
Got lost after the Rubro Negro crack and did a 55m pitch all the way to the top. Kinda sketch way up there! Had to bushwhack through hella dense bamboo to get out, totally nackered ",https://www.mountainproject.com/route/200348182/preto-with-rubro-negro-var,4,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Morro da Urca > Face Sul (South Face)",2.0,2,Lead,Onsight,Trad,5.7,400,1800
2024-10-25,"Old Man's Route",5.2,"Soloed to the last pitch, then LRS w/ Grigri",https://www.mountainproject.com/route/105917543/old-mans-route,4,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
2024-10-25,Agony,5.10b,"TR soloed after trundling the death block low on the route",https://www.mountainproject.com/route/105910403/agony,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.6,-1,TR,,Trad,,200,2900
2024-10-24,"Bee Sting Corner",5.7,"TR solo w/ approach shoes no falls. Nice line!",https://www.mountainproject.com/route/107265681/bee-sting-corner,1,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",3.2,-1,TR,,Trad,,75,1800
2024-10-24,"Dufty's Popoff","5.7 PG13","TR solo w/ approach shoes. Still so fun!",https://www.mountainproject.com/route/107265652/duftys-popoff,1,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",3.5,-1,TR,,Trad,,130,1800
2024-10-24,"Worrell's Thicket",5.0,"Access to lower broadway",https://www.mountainproject.com/route/110726960/worrells-thicket,2,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.0,-1,Solo,,Trad,,160,1000
2024-10-24,"Gert's Grungy Gulley",5.4,"Guided my oldest client yet at 81! First time on the upper pitches",https://www.mountainproject.com/route/110715086/gerts-grungy-gulley,4,"West Virginia > Seneca Rocks > South Peak - West Face > Southwest Corner",1.6,-1,Lead,Onsight,Trad,,150,1400
2024-10-22,"Gunsight to South Peak Direct",5.4,"Guiding to set up silks from a highline across the notch. Two pitches from upper broadway to the highline anchor.",https://www.mountainproject.com/route/105924159/gunsight-to-south-peak-direct,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.8,-1,Lead,Flash,Trad,,150,1400
2024-10-21,"5.10b trad",5.10b,"Stone Gallows at NRocks. Led P1 and P2, Chris led a short P3 to get to the top of the headwall. SO SICK. Super sandbagged at 10b though",https://www.mountainproject.com/route/112169056/510b-trad,3,"* In Progress > Generic Area",3.3,-1,Lead,Onsight,Trad,,,2900
2024-10-18,"Critter Crack",5.6,Guiding,https://www.mountainproject.com/route/105917534/critter-crack,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.4,-1,Lead,Redpoint,Trad,,80,1600
2024-10-18,"Front C",5.6,Guiding,https://www.mountainproject.com/route/105917531/front-c,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Flash,Trad,,50,1600
2024-10-18,"Le Gourmet",5.4,"Guiding. Just P1 and P3",https://www.mountainproject.com/route/106729354/le-gourmet,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,285,1400
2024-10-17,"Gunsight to South Peak",5.4,Guiding,https://www.mountainproject.com/route/105924140/gunsight-to-south-peak,4,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.7,-1,Lead,Redpoint,Trad,,150,1400
2024-10-17,"Skyline Traverse",5.3,"Guiding. Client bootied a fixed nut!",https://www.mountainproject.com/route/105917259/skyline-traverse,3,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.9,-1,Lead,Redpoint,Trad,,,1300
2024-10-16,"Roy Gap Chimney's",5.6,"Guiding. Just P1",https://www.mountainproject.com/route/105996084/roy-gap-chimneys,1,"West Virginia > Seneca Rocks > Southern Pillar > Southern Pillar - West Side",2.6,-1,Lead,Redpoint,Trad,,220,1600
2024-10-12,"Windy Corner",5.4,"Holy rope drag for my followers on this one",https://www.mountainproject.com/route/106587131/windy-corner,1,"West Virginia > Seneca Rocks > South Peak - East Face > Cockscomb East Face",2.7,-1,Lead,Onsight,Trad,,80,1400
2024-10-12,"Old Ladies Route",5.2,"Longest day ever :o",https://www.mountainproject.com/route/106587097/old-ladies-route,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
2024-10-07,"Gunsight to South Peak",5.4,Guiding,https://www.mountainproject.com/route/105924140/gunsight-to-south-peak,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.7,-1,Lead,Redpoint,Trad,,150,1400
2024-10-07,"Skyline Traverse",5.3,Guiding,https://www.mountainproject.com/route/105917259/skyline-traverse,2,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.9,-1,Lead,Redpoint,Trad,,,1300
2024-10-07,"Lower Skyline Direct (LSD)",5.5,Guiding,https://www.mountainproject.com/route/107333048/lower-skyline-direct-lsd,2,"West Virginia > Seneca Rocks > South End",2.1,-1,Lead,Redpoint,Trad,,120,1500
2024-09-26,"Old Man's Route",5.2,"Guiding. Rainy day!",https://www.mountainproject.com/route/105917543/old-mans-route,4,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
2024-09-22,"Skyline Traverse",5.3,"TR soloed the last pitch on a booty run",https://www.mountainproject.com/route/105917259/skyline-traverse,1,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.9,-1,TR,,Trad,,,1300
2024-09-22,"Old Man's Route",5.2,"TR soloed the last pitch on a stuck rope on the traffic jam rap",https://www.mountainproject.com/route/105917543/old-mans-route,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Solo,,Trad,,,1200
2024-09-21,Totem,5.11a,"Guiding. +2 TR pitches to anchor stuff and clean",https://www.mountainproject.com/route/106243771/totem,3,"West Virginia > Seneca Rocks > South End",2.9,-1,Lead,Redpoint,Trad,,280,4600
